Tarih,Toplam Vaka,Toplam_Vefat
11.03.2020,1,
12.03.2020,1,
13.03.2020,5,
14.03.2020,6,
15.03.2020,18,
16.03.2020,47,
17.03.2020,98,1.0
18.03.2020,191,2.0
19.03.2020,359,4.0
20.03.2020,670,9.0
21.03.2020,947,21.0
22.03.2020,1.236,30.0
23.03.2020,1.529,37.0
24.03.2020,1.872,44.0
25.03.2020,2.433,59.0
26.03.2020,3.629,75.0
27.03.2020,5.698,92.0
28.03.2020,7.402,108.0
29.03.2020,9.217,131.0
30.03.2020,10.827,168.0
31.03.2020,13.531,214.0
01.04.2020,15.679,277.0
02.04.2020,18.135,356.0
03.04.2020,20.921,425.0
04.04.2020,23.934,501.0
05.04.2020,27.069,574.0
06.04.2020,30.217,649.0
07.04.2020,34.109,725.0
08.04.2020,38.226,812.0
09.04.2020,42.282,908.0
10.04.2020,47.029,1.006
11.04.2020,52.167,1.101
12.04.2020,56.956,1.198
13.04.2020,61.049,1.296
14.04.2020,65.111,1.403
15.04.2020,69.392,1.518
16.04.2020,74.193,1.643
17.04.2020,78.546,1.769
18.04.2020,82.329,1.89
19.04.2020,86.306,2.017
20.04.2020,90.980,2.14
21.04.2020,95.591,2.259
22.04.2020,98.674,2.376
23.04.2020,101.790,2.491
24.04.2020,104.912,2.6
25.04.2020,107.773,2.706
26.04.2020,110.130,2.805
27.04.2020,112.261,2.9
28.04.2020,114.653,2.992
29.04.2020,117.589,3.081
30.04.2020,120.204,3.174
01.05.2020,122.392,3.258
02.05.2020,124.375,3.336
03.05.2020,126.045,3.397
04.05.2020,127.659,3.461
05.05.2020,129.491,3.52
06.05.2020,131.744,3.584
07.05.2020,133.721,3.641
08.05.2020,135.569,3.689
09.05.2020,137.115,3.739
10.05.2020,138.657,3.786
11.05.2020,139.771,3.841
12.05.2020,141.475,3.894
13.05.2020,143.114,3.952
14.05.2020,144.749,4.007
15.05.2020,146.457,4.055
16.05.2020,148.067,4.096
17.05.2020,149.435,4.14
18.05.2020,150.593,4.171
19.05.2020,151.615,4.199
20.05.2020,152.587,4.222
21.05.2020,153.548,4.249
22.05.2020,154.500,4.276
23.05.2020,155.686,4.308
24.05.2020,156.827,4.34
25.05.2020,157.814,4.369
26.05.2020,158.762,4.397
